OPER,LIQ,COD.,DESCRIPCION,REFERENCIA,CARGOS,ABONOS,OPERACION,LIQUIDACION
06/DIC,S39,SERV,BANCA INTERNET,,660.00,,,
06/DIC,S40,IVA,COM SERV BCA INTERNET,,105.60,,,
06/DIC,S39,SERV,BANCA INTERNET,,660.00,,,
06/DIC,S40,IVA,COM SERV BCA INTERNET,,105.60,,,
06/DIC,S39,SERV,BANCA INTERNET,,660.00,,,
06/DIC,S40,IVA,COM SERV BCA INTERNET,,105.60,,,
06/DIC,S39,SERV,BANCA INTERNET,,660.00,,,
06/DIC,S40,IVA,COM SERV BCA INTERNET,,105.60,,,
06/DIC,S39,SERV,BANCA INTERNET,,660.00,,,
06/DIC,S40,IVA,COM SERV BCA INTERNET,,105.60,,"268,683.92","254,009.92"
07/DIC,M97,DEPOSITO,CHEQUE BANCOMER,,"16,353.27",,,
06/DIC,C82,TRASPASO,"A PERIFERICA 1,428.00",,,,,
06/DIC,C82,TRASPASO,"A PERIFERICA 2,856.00",,,,,
06/DIC,C82,TRASPASO,"A PERIFERICA 7,534.00",,,,,
06/DIC,C82,TRASPASO,"A PERIFERICA 1,428.00",,,,,
06/DIC,C82,TRASPASO,"A PERIFERICA 1,428.00",,,,"270,363.19","207,047.31"
07/DIC,C82,TRASPASO,"A PERIFERICA 3,853.16",,,,,
07/DIC,C82,TRASPASO,"A PERIFERICA 3,853.16",,,,,
07/DIC,C82,TRASPASO,"A PERIFERICA 3,853.16",,,,,
07/DIC,C82,TRASPASO,"A PERIFERICA 1,781.80",,,,,
07/DIC,C82,TRASPASO,"A PERIFERICA 41,386.60",,,,,
07/DIC,C82,TRASPASO,"A PERIFERICA 8,588.00",,,,"207,047.31","196,742.88"
09/DIC,T17,SPEI,"ENVIADO BANORTE/IXE 0 16,353.27",,,,,
08/DIC,C82,TRASPASO,"A PERIFERICA 4,878.62",,,,,
08/DIC,C82,TRASPASO,"A PERIFERICA 1,187.62",,,,,
08/DIC,C82,TRASPASO,"A PERIFERICA 4,238.19",,,,"180,389.61","180,389.61"
Paseo de la,Reforma,510.,"Col. Juárez, Del. Cuauhtémoc; C.P. 06600, México, D.F. R.F.C. BBA830831LJ2",,,,,
10/DIC,C82,TRASPASO,"A PERIFERICA 1,166.20",,,,,
12/DIC,C82,TRASPASO,"A PERIFERICA 1,375.52",,,,"177,847.89","166,941.29"
13/DIC,C82,TRASPASO,"A PERIFERICA 2,726.65",,,,,
13/DIC,C82,TRASPASO,"A PERIFERICA 2,726.65",,,,,
13/DIC,C82,TRASPASO,"A PERIFERICA 2,726.65",,,,,
13/DIC,C82,TRASPASO,"A PERIFERICA 2,726.65",,,,"166,941.29","166,941.29"
16/DIC,C82,TRASPASO,"A PERIFERICA 5,600.00",,,,"161,341.29","159,519.50"
19/DIC,C82,TRASPASO,"A PERIFERICA 1,821.79",,,,"159,519.50","159,519.50"
21/DIC,C82,TRASPASO,"A PERIFERICA 1,904.00",,,,,
21/DIC,C82,TRASPASO,"A PERIFERICA 1,904.00",,,,"155,711.50","151,791.94"
22/DIC,C82,TRASPASO,"A PERIFERICA 3,919.56",,,,"151,791.94","142,193.94"
23/DIC,C82,TRASPASO,"A PERIFERICA 9,598.00",,,,"142,193.94","140,970.34"
26/DIC,C82,TRASPASO,"A PERIFERICA 1,223.60",,,,"140,970.34","139,127.34"
27/DIC,C82,TRASPASO,A PERIFERICA,,66.00,,,
27/DIC,C82,TRASPASO,"A PERIFERICA 1,777.00",,,,"139,127.34","139,127.34"
TOTAL,IMPORTE,CARGOS,"152,303.43",,TOTAL MOVIMIENTOS,CARGOS,,42
TOTAL,IMPORTE,ABONOS,"16,519.02",,TOTAL MOVIMIENTOS,ABONOS,,2
Paseo de la,Reforma,510.,"Col. Juárez, Del. Cuauhtémoc; C.P. 06600, México, D.F. R.F.C. BBA830831LJ2",,,,,
